Country,Region,DataYear,ClassGrade,Gender,Ageyears,Handed,Height_cm,Footlength_cm,Armspan_cm,Languages_spoken,Travel_to_School,Travel_time_to_School,Reaction_time,Score_in_memory_game,Favourite_physical_activity,Importance_reducing_pollution,Importance_recycling_rubbish,Importance_conserving_water,Importance_saving_energy,Importance_owning_computer,Importance_Internet_access,Left_Footlength_cm,Longer_foot,Index_Fingerlength_mm,Ring_Fingerlength_mm,Longer_Finger_Lefthand,Birth_month,Favorite_Season,Allergies,Vegetarian,Favorite_Food,Beverage,Favorite_School_Subject,Sleep_Hours_Schoolnight,Sleep_Hours_Non_Schoolnight,Home_Occupants,Home_Internet_Access,Communication_With_Friends,Text_Messages_Sent_Yesterday,Text_Messages_Received_Yesterday,Hanging_Out_With_Friends_Hours,Talking_On_Phone_Hours,Doing_Homework_Hours,Doing_Things_With_Family_Hours,Outdoor_Activities_Hours,Video_Games_Hours,Social_Websites_Hours,Texting_Messaging_Hours,Computer_Use_Hours,Watching_TV_Hours,Paid_Work_Hours,Work_At_Home_Hours,Schoolwork_Pressure,Planned_Education_Level,Favorite_Music,Superpower,Preferred_Status,Role_Model_Type,Charity_Donation
USA,WI,2018,12,Male,17,Right-Handed,174,29,188,1,Car,12,4,139,Swimming,1000,214,492,299,1000,866,29,Same length,9,8,Index finger,September,Spring,Yes,No,No favorite,Water,Other,9,9,5,Yes - other,"Myspace, Facebook, other social networking sites, or blog",0,0,0,0,10,2,0,0,10,1,4,8,0,10,Some,Graduate degree,,Telepathy,Happy,Other,Education/Youth development
USA,MA,2018,12,Female,17,Right-Handed,170.1,26,170,2,Car,40,1.38,48,Other,4,3,1,5,2,6,27,Left foot,177,177,Same length,November,Fall,Yes,No,Meat,Water,Mathematics and statistics,5,6,8,Yes - broadband connection,In person,15,4,2,0,17,6,23,0,1,4,5,5,10,10,A lot,Some college,Rap/Hip hop,Telepathy,Happy,Other,International aid
USA,AZ,2018,12,Male,17,Right-Handed,178,25,69,2,Car,3,0.252,36,Walking/Hiking,273,503,310,599,1000,1000,25,Same length,82.55,82.55,Same length,December,Winter,No,No,Rice/Noodle dishes,Water,Computers and technology,6,7,3,Yes - broadband connection,Internet chat or instant messaging,150,110,10,33,4,2,3,8,20,20,50,0,33,5,Some,Less than high school,Punk rock,Invisibility,Happy,Business person,"Wildlife, animals"
USA,CA,2018,12,Female,17,Right-Handed,154,24,152,1,Car,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,CA,2018,12,Female,16,Right-Handed,163,24,162,1,Car,13,0.367,46,Other,800,700,800,400,500,500,24.2,Left foot,7.5,8,Ring finger,August,Summer,No,No,Pizza/Pasta,Water,Science,7,10,5,Yes - other,"Myspace, Facebook, other social networking sites, or blog",15,20,15,2,5,5,10,2,10,2,3,3,0,0,Some,Graduate degree,Rap/Hip hop,Telepathy,Healthy,Relative,International aid
USA,TN,2018,12,Female,17,Right-Handed,165.1,23,165,1,Car,20,0.773,41,Other,800,900,0,200,500,1000,21,Right foot,75,70,Index finger,July,Summer,Yes,No,Poultry,Water,Music,7,14,7,Yes - other,Internet chat or instant messaging,0,0,2,1,10,1,0,0,9,0,2,0,15,2,A lot,Graduate degree,Punk rock,Super strength,Famous,Religious figure,Health
USA,SC,2018,12,Female,17,Right-Handed,160,25,158,1,Car,15,0.478,46,Basketball,600,677,788,609,989,999,25,Same length,64,57,Index finger,June,Summer,No,No,Fruit,Sports drink,Other,6,9,3,Yes - other,"Myspace, Facebook, other social networking sites, or blog",200,275,38,78,57,88,87,33,109,140,143,33,15,25,A lot,Graduate degree,Rap/Hip hop,Telepathy,Happy,Relative,Education/Youth development
USA,FL,2018,12,Male,17,Right-Handed,186,27,152,2,Car,35,0.693,48,Other,850,900,800,950,600,700,28,Left foot,8,7.5,Index finger,April,Winter,No,No,Rice/Noodle dishes,Water,Science,8,8,4,Yes - broadband connection,In person,4,50,6,0.5,2,1,1.5,6,2,2,10,1,2,0.5,Very little,Graduate degree,Pop,Freeze time,Rich,Actor,Environment
USA,MA,2018,12,Male,17,Right-Handed,170.1,26,167.6,4,Bus,20,0.341,37,Swimming,80,75,90,95,50,98,26,Same length,105,110,Ring finger,May,Winter,No,No,No favorite,Water,Mathematics and statistics,6,10,4,Yes - dial-up connection,In person,3,120,1,20,50,15,10,3,4,25,18,0,10,15,Some,Some college,Other,Super strength,Healthy,Community leader or elder,"Arts, culture, sports"
USA,ID,2018,12,Male,20,Right-Handed,185,27,196,3,Walk,15,0.387,55,Basketball,650,800,500,200,950,999,27,Same length,134,114,Index finger,October,Fall,Yes,No,Meat,Water,Social studies,7,9,6,Yes - broadband connection,Text messaging,25,40,20,1,40,0,2,0,5,2,5,2,0,0,A lot,Graduate degree,Rap/Hip hop,Freeze time,Happy,Business person,Education/Youth development
USA,MD,2018,12,Male,18,Right-Handed,165.7,23.7,162.5,2,Car,20,0.38,52,Football (American),700,600,600,700,500,400,23.5,Right foot,113,113.5,Ring finger,July,Fall,Yes,No,Meat,Milk,History,8,10,3,Yes - broadband connection,Text messaging,9,15,10,1,10,11,7,4,2,4,15,10,0,5,A lot,Graduate degree,Rap/Hip hop,Super strength,Rich,Relative,"Wildlife, animals"
USA,NJ,2018,12,Female,17,Right-Handed,134,30,182,1,Car,15,0.551,41,Tennis,861,711,599,433,968,1000,30,Same length,76,76,Same length,October,Fall,No,No,Seafood,Tea,Science,7,10,3,Yes - other,Internet chat or instant messaging,35,70,8,1,12,17,15,0,17,15,15,4,0,10,Some,Other,Pop,Invisibility,Happy,Relative,Education/Youth development
USA,ID,2018,12,Male,22,Right-Handed,180.3,27.9,63.5,1,Walk,5,0.35,42,Football (American),733,700,235,540,700,730,27.9,Same length,76.2,76.2,Same length,April,Fall,No,No,Rice/Noodle dishes,Water,English,6,6,6,Yes - broadband connection,In person,36,41,60,5,45,0,8,2,3,3,10,0,21,1,Some,Graduate degree,Rap/Hip hop,Fly,Healthy,Relative,"Wildlife, animals"
USA,MN,2018,12,Male,16,Right-Handed,175,25,178,1,Car,35,0.318,0.318,Martial Arts,100,150,150,100,1000,1000,25,Same length,10,8.5,Index finger,January,Summer,No,No,Meat,Water,Physical education,5,10,4,Yes - broadband connection,"Myspace, Facebook, other social networking sites, or blog",5,10,0,1,7,0,10,3,0,1,10,0,15,0,A lot,Graduate degree,Rap/Hip hop,Freeze time,Rich,Sports person,Religious
USA,DE,2018,12,Male,18,Left-Handed,190.5,28,196,1,Car,40,0.806,46,Martial Arts,950,600,500,800,1000,1000,29,Left foot,95,97,Ring finger,December,Winter,No,No,Breads/Sandwiches,Soft drink (caffeinated),Music,5,13,3,Yes - broadband connection,Text messaging,10,9,2,2,1,0,0,5,7,3,40,4,0,0,A lot,Graduate degree,Gospel,Freeze time,Rich,Actor,"Arts, culture, sports"
USA,WI,2018,12,Female,17,Right-Handed,163,24,156,1,Car,8,0.352,37,Other,4,3,6,5,2,1,24,Same length,95,85,Index finger,October,Summer,Yes,No,Meat,Water,Mathematics and statistics,9,7,3,Yes - other,Text messaging,100,100,10,2,5,5,5,0,10,10,10,5,15,2,Some,Graduate degree,Country,Fly,Healthy,Relative,"Wildlife, animals"
USA,IL,2018,12,Female,18,Right-Handed,158,20.5,57.5,2,Car,8,0.293,40,Soccer,9000,9000,9000,9000,4000,3000,20.5,Same length,12,12,Same length,August,Winter,No,Yes,Fruit,Water,Social studies,6,9,4,Yes - broadband connection,Text messaging,50,70,5,1,8,0,20,0,5,1,4,4,7,7,A lot,Graduate degree,Rap/Hip hop,Telepathy,Rich,Business person,"Wildlife, animals"
USA,IL,2018,12,Female,17,Ambidextrous,168,26,157,2,Car,12,0.409,40,Football (American),900,400,800,900,200,400,24,Right foot,70,76,Ring finger,June,Fall,Yes,Yes,Pizza/Pasta,Water,English,6,10,4,Yes - other,"Myspace, Facebook, other social networking sites, or blog",15,24,7,1,8,12,3,1,8,1,10,7,2,7,A lot,Graduate degree,Country,Freeze time,Happy,Relative,Education/Youth development
USA,NY,2018,12,Male,18,Right-Handed,170,25,178,2,Rail (Train/Tram/Subway),65,0.388,42,Basketball,759,663,781,861,813,695,25,Right foot,100,110,Ring finger,July,Summer,Yes,No,Meat,Water,Other,6,10,5,Yes - broadband connection,"Myspace, Facebook, other social networking sites, or blog",0,10,2,1,3,4,1,2,2,0,2,0,0,1,Some,Graduate degree,Other,Telepathy,Rich,Other,International aid
USA,FL,2018,12,Female,17,Right-Handed,63,9.25,59,1,Car,15,0.972,57,Athletics,866,952,513,513,1000,1000,9.25,Same length,7,6.5,Index finger,December,Winter,Yes,No,Desserts,Coffee,Other,6,8,3,Yes - other,Cell phone,50,70,10,15,15,2,1,0,5,8,8,0,30,2,A lot,Graduate degree,Pop,Telepathy,Rich,Actor,Health
USA,CA,2018,12,Female,16,Right-Handed,159,23,167,2,Walk,10,0.344,53,Other,460,321,813,706,717,765,23,Right foot,90,97,Ring finger,November,Fall,No,Yes,Vegetables,Water,Languages,8,9,3,Yes - other,In person,0,0,0,0,20,20,3,15,1,0,25,0,0,10,Some,Graduate degree,Other,Invisibility,Healthy,Relative,Health
USA,CA,2018,12,Male,17,Right-Handed,144,27.5,146,1,Car,15,0.31,39,Basketball,750,750,600,400,700,850,27,Right foot,80,85,Ring finger,February,Summer,No,No,Meat,Water,Mathematics and statistics,4,9,4,Yes - broadband connection,Text messaging,57,61,8,0.5,15,15,5,1,5,15,24,2,8,2,A lot,Graduate degree,Rap/Hip hop,Freeze time,Rich,Friend,Health
USA,IN,2018,12,Female,17,Ambidextrous,145,21.5,145,3,Bus,65,0.394,56,Tennis,400,400,1000,1000,1000,1000,21.5,Same length,60,62,Ring finger,January,Fall,No,No,No favorite,Juice,Languages,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,DE,2018,12,Male,17,Right-Handed,185.4,27,177.8,1,Car,5,0.726,39,Basketball,1000,1000,1000,1000,0,1000,27,Right foot,7,8,Ring finger,September,Summer,Yes,No,Poultry,Water,Other,6,12,3,Yes - broadband connection,"Myspace, Facebook, other social networking sites, or blog",20,25,10,1,10,1,5,5,5,,50,,,,A lot,Some college,Rap/Hip hop,Invisibility,Rich,Sports person,"Wildlife, animals"
